א	איחוד ההלכה והאגדה יביא להפריה והשלמה הדדית, וישפיע אחדות והרמוניה בתחומים רבים.
ב	בפנימיות, נמצאת תמצית הלכתית באגדה ותוכן אגדי בהלכה, ועלינו להבליט זאת ולאחדם, ומתביעה זו נולדו הפלפולים באגדה.
ג	כשהצער העצמי מצטרף בנשמה עם צער העולם הכללי, והאדם מתוודה עם כל היצורים – מתעלה העולם כולו ועמו גם היחיד.
ד	במידת הרז, מתאחדת הארת הנשמה עם חיי הגוף ומתחייבת דבקות מיוחדת, כשם שקדושת המאכל מחייבת זהירות יתירה מלטמאו.
ה	כל הסתירות בין האמונה והמדע, הפשט והדרש, הנן סובייקטיביות, ותכונת ישראל היא לחדור לאובייקטיביות המאחדת אותם.
ו	ככל שהחוש המוסרי מזדקק, מכיר האדם בחוסר מוסריותו וצערו מתגבר, וצער זה מביא למידות טובות, ויש לקבלו באהבה.
ז	לדברי ה"ספרא דצניעותא" על המשתמש בחכמה ובינה להרע, ששקול לגילוי עריות, יש תוכן פרטי ותוכן כללי.
ח	אבוקת הקודש של נשמת ישראל מאירה באור איכותי, ותולדותיה הכהים מתערבים במחשכי העמים ומתעבים, וגם בחושך עצמו יש זיקי אור.
ט	מעשיהם הטובים של הרשעים והעמים נובעים משורשם הרע, וחטאי הצדיקים וישראל הם זכויות ונובעים מעצמיותם הטובה.
י	הצורך הנפשי בלימוד הנו המעיין הנפשי של תורה לשמה, ופרטי הלימוד הנם רק כלים לאותו שפע.
יא	בלימוד שלא לשמה מתעלים גם הכוחות הנמוכים והטבעיים שבאדם, ואצל הצדיקים גם הלימוד לשמה מחובר עם טבעיותם.
יב	כל ההכרות משפיעות על הוגיהן מאופיין הפנימי, הסותר את אופיין של ההכרות האחרות, ואיחודן בא רק על-ידי מקורן האלוהי.
יג	כשהתביעה המוסרית והציור הרוחני גדולים מהיכולת המעשית, צריך לאחוז בתשובה הרצונית ולא להרפות מהתביעות הגדולות.
יד	בכל לימוד ותנועה ישנם גילויים כלליים, וגילויים פרטיים המופיעים מכל חלק, וכשהם משתלבים, מתאחדים כל הניצוצות לאבוקה.
טו	האמת האלוהית היא הגבוהה ביותר וגם הפשוטה והנחוצה ביותר, והניסיון להקטינה ולעשותה פופולרית מכביד עליה.
טז	כשחוזים איך נשמת הכלל והפרט יונקת את חיותה ממקור מזונה הרוחני, מתגדל החשק להרבות תורה בישראל.
יז	הרשעה מכירה בשלטון הרע וחפצה בו, הטובים ממנה מכירים בשלטונו ומואסים בו, ולמעלה מהם המצפים לכליונו, והאמת היא שאין לו כל שלטון.
יח	בארץ ישראל מתבטלת הצורה האנושית של היצירה לגבי צורתה הישראלית, ורק כשהמקור הישראלי נשחת יוצאים לגלות ויונקים מהיצירה הכללית.
יט	מי שיש לו נטייה למקוריות חדשה, צריך להיזהר שלא להפריז בחדשנות, ומאידך – לא לצמצמה במקום שבידה להפרות את הישן.
כ	נטילת הדיוק והניצחון של האמונה והמוסר, והחלפתם בנוגה חיצוני, הנו ארס רוחני המתפשט בעולם עד לזריחת אור ישראל.
כא	יש להתרגל לראות בכל ספר קודש את הצד המדעי והספרותי שבו, ולאחדו עם תוכנו הקדוש והתמים.
כב	מניעת לימוד המוסר אינה רק מפני היות תוכנו ידוע, אלא מפני היותו ידוע בצורה מעוותת, בוסרית ומרירה.
כג	הקדושה מגדלת את הנשמה להשערת אין-סוף וממלאת אותה בענווה, והחמריות מקטינה את ההוויה והאדם ומביאה לגסות הרוח.
כד	הגאווה היא שקרנית, מפני שמשכחת גדולת ה' ובכך היא גורמת להקטנת היישות, ולעומתה, ביטול האישיות והיש מגדיל את ערכם.
כה	הגאווה מביאה לעולם כעס ותאווה בהקטנתה את ערכו האידיאלי, והענווה ממשיכה נחת ונעימות ממקור הקדושה.
כו	כל דבר גדל לפי ערך דבקותו בה', ולכן האדם המקושר לעולם מעלה בדבקותו את ערך הכל.
כז	בדברי חסידות, העיקר הוא למלא את הנשמה בתוכן הקודש, והמעשים יתיישרו מאליהם, אך בחוקים עצמם, תיקון המעשים קודם.
כח	המשכן היה למעלה מן העולם, ולכן היה עראי, אבל לגבי משה היתה גדלות זאת קבועה, והיא שאפשרה את קביעות המקדש לבוא.
כט	הדבקות האלוהית מאשרת את האדם ומשנה את מהותו העצמית, אך הדבקות באלוהי השקר מטביעתו בבוץ החטא.
ל	הריחוק מהאורה האלוהית (תולדת הגידוף) והדבקות בציורי השקר (תולדת עבודה-זרה) מחשיכים את הנפש והעולם.
