א	איני יכול לצמצם עצמי בעניין אחד, וצריך אני לינוק מהאות המיוחדת לי בתורה, ולאחד את כל שטפי האור.
ב	הרעיונות המצמצמים את החיים הגשמיים והרוחניים, הנקלטים מבעלי מוסר תמימים, גורמים לעצבות, ובזיקוקם הם מתהפכים לשמחה.
ג	ככל שמחשבתו של אדם משוטטת ודבקה בעניין האלוהי האחדותי, רוח הקודש שורה עליו, והוא מתמלא בענווה ואהבת הבריות.
ד	הפוסק מדברי תורה ועוסק בדברים בטלים, מלבה התורה את בעירתם, וכשאינו פוסק, אלא מעלה אותם, מתהפכת הבעירה לטובה.
ה	בזמן שהעולם מלא שקר ומלחמות, מקיימים אנשי הקודש, רודפי השלום, את העולם.
ו	ביטול התורה שלי בא מגעגועים עזים לצפיות עליונות, ואם באים הם בלא הדרגה, לא אבהל, שכן זאת תכונת הדור ותכונתי.
ז	כשם שלשון הקודש עליונה משאר לשונות בהיותה יוצרת ולא רק סוקרת, כך התורה עליונה משאר החכמות.
ח	החטאים הנגרמים מחסרון סידור גופני, צריכים להיתקן תחילה על-ידי הטבת אורח החיים, ובעזרת סידור החכמה המעשית.
ט	אין לנפול משום נטייה זרה, שכן כולן גם-כן נדרשות, אלא יש לשוב עליהן מיד, וללמוד מהן איך לסדר אורחותיו בעתיד.
י	יסוד היראה הוא הפחד להפסיק את הדבקות האלוהית, הנפגמת בנטיית התאווה, ומתגברת באור התורה ועֹז התפילה.
יא	ככל שמתגברת נשמת האדם, הוא מרגיש את ערך דיבורי הקדושה, והשפעת דיבוריו מתגברת.
יב	הצעקה המורגשת בכלי הגוף, נובעת מניצוצות הקודש השקועים ברע וזקוקים לבירור, ואצל צדיקים – מצער השכינה.
יג	כשם שאת עצי-המערכה הדליקו בקיסמים, כך צעקה קטנה מביאה התעוררות נפשית ושכלית גדולה.
יד	הרגשת הקישור בין הדיבור לעולם, אפילו בדמיון בלבד, הנה סימן לתחילת גאולת הדיבור.
טו	חשק ישראל להשתוות למלאכים מעיד על קדושת נשמתם, וביטויו ב"קדושה" מוסיף אומץ בנשמה, ומביאה לתשובה מאהבה.
טז	הצדיקים מרגישים את הקדושה שבכל רגע, ואינם קובעים זמן לתורה אלא עוסקים תמיד בדבקות שכלית ורעיונותיהם הם גופי תורה.
יז	המגיע למידת ההשתוות הקשורה בחכמה העליונה, אינו זקוק לכבוד או לגינוי אפילו לצורך רוחני, והוא נוחל את הכבוד האמיתי.
יח	השגת עושר הישות האלוהית מביאה לדבקות אלוהית ונגרמת ממנה, ועל-ידה הוא ניצול מעוני העולמות הנפרדים.
יט	ארבע דרכים לקימת חצות: הרגשה פנימית, נשיבת רוח צפונית בכינור, קול התרנגול, ושעון מעורר, ולפעמים מצטרפות כולן יחד.
