א	ישראל מספרים תהילת ה' בעולם, ואורם הולך ומתגלה בימינו.
ב	ההבנה המוסרית בהנהגת העולם, הפנימית והחופשית, גדולה מההבנה הסיבתית, החוקתית והחיצונית, ומחייה אותה. לפי ההבנה הסיבתית, הגלות היא תוצאה של ההתנתקות מהקודש, אך לפי ההבנה המוסרית הגלות מוכרחת לבוא.
ג	בישראל – המשפט הממוני וכל ערכי החיים הנם דרישת א-להים, ומכאן חשיבות הסמיכה, שקוממה כנגדה את הרשעה היוונית. המינות הפקירה את המשפט לטובת הרחמים המדומים, וגרמה לשפיכות דמים, ואילו המשיח ישפוט תבל בצדק.
ד	נטילת הדיוק והניצחון של האמונה והמוסר והחלפתם בנוגה חיצוני, הנו ארס רוחני המתפשט בעולם עד לזריחת אור ישראל.
ה	העולם ומלואו מחכים לאורם של ישראל ההולך ומתקן את ההוויה על כל חלקיה הנמוכים, ואינו זונח כנצרות את העולם המעשי.
ו	הפקרת המעשיות מתוך התפרצות רוחנית משפילה את הקדושה העליונה, ובתיקונה על-ידי הרשעים שבים אורות הגזולים בידיהם.
ז	ישראל זקוקים לאקלים רוחני לפי תכונתם, וחושם הקדוש מכיר בכך, והשתקעותם באמונה ודבקות זרה שקולה כזנות רוחנית.
ח	בנשמת ישראל חרותה הגבורה העליונה המחדשת את העולם החומרי, ולכן היא תובעת את העלאתו, אף שהכרה זו נסתרת לפעמים.
ט	המינות כופרת בנצחיות סגולת ישראל בגלל ניתוקה את הגוף והחומר מהרוח, ואורו של משיח יגלה את אחדותם.
י	כנסת ישראל שואפת לתיקון כולל של שורש החטא בעולם (חטא הארץ, הלבנה והעולם), ואינה מסתפקת בסליחה חלקית (כנצרות).
יא	אימוץ חיי העולם הבא מאמץ את חיי העולם הזה, ובישראל הוא נזקק לבניין האומה, והצדוקים שכפרו בכך – לאומיותם דעכה.
יב	בכל מאורעות העולם הטבעיים יש תנועה נסית, וישראל באמונתם מגלים בה את אורו של משיח, וכל נס מתקשר למעשה טבעי.
יג	סוד ה' ליראיו הוא המלמד לרכוש כבוד לטבע המוסרי וההיסטורי, שרוח ה' מופיעה בו, וגילויה הוא על-ידי ישראל.
יד	אחדות הנס והטבע מאירה את אורו של משיח, ובכל כוחות הטבע, אף הקטנים, גנוז אור זה, ומהם נגרמים לרוח המשיח יסורי חנק.
טו	הרשעה מתפצלת לעבודה-זרה הנלחמת בקודש מבחוץ, ולמינות הניגשת לקודש עם כל זוהמתה, וישראל מגלים שהטהרה היא תנאי לקדושה.
טז	ישרות המידות והתכונות צריכה לחדור לשורשים התחתיים, שבטומאתם מעכירים את העולם, ובעילוים מוסיפים אור בעליונים.
יז	סילוק השכל על-ידי תרבות הדמיון הגסה השולטת בימינו, משלים את כוח הדמיון שנחלש, ומכשיר הופעת רוח הקודש.
יח	החכמה התתאה והדמיון הנרכש מהנוכרים, מעלים את העולם בזמן שאינו ראוי לתורה העצמית של ישראל, ועתידים להיתקן בעתיד.
יט	הרצון הפונה לאלוהות, המנותק ממחשבת האלוהות ואורחותיה המעשיות, נופל בעומק רע, וישראל מזקקים רצון זה בעבודתם.
כ	אורו של משיח ואמונת ישראל שואפים לתיקון מוחלט של העולם, והם מתגלים למרות כל הקשיים.
כא	ברכת ישראל היא תוספת הדעת העליונה, שהיא השורש והמקור לכל המחשבות העצות התחתונות המתפצלות ממנה.
כב	ההשכלה הבאה מרוח הקודש, מהתגלות נשמת ישראל, מתאימה עם הניתוח ההלכתי, וממנה באים אהבת האומה וקנייניה.
כג	כשאדם לומד מקצוע בתורה שאינו מתאים לשורשו, הוא מרגיש עצבות, ובעקבי משיח מציאת השורש קשה מפני שאז נדרשת כלליות.
כד	יש רוח ממוזג המסדר את הקודש בחיים, ויש רוח סערה הפורץ את כל הגדרים, וכוחו יפה לשעתו, אך אינו יכול לנהל חיים קבועים.
כה	בעתיד יתגלה שכל השאיפות הן דבר ה' ומשכללות את עצתו העליונה, והקמת סוכת דוד תהיה הגילוי שמעולם לא נפלה.
כו	האמון המשפחתי הוא תולדה של האמונה העליונה וכלול באותיות שם ה', פגימה בו פוגמת בכל ייחוסיו החברתיים, ובניינו בונה אותם.
כז	יחוס השבטים נשכח בגלות כדי למנוע פירוד בישראל, וסופו שישוב באחדות הרמונית על-ידי אליהו, על-ידי סתרי תורה.
כח	יציאת מצרים (ע"י משה) וגאולת העתיד (ע"י אליהו) הנן פעולה אחת שאינה פוסקת, ורוח ישראל מקשיב לקולה הנסתר.
כט	אור התורה של האבות (משה), ואור הטבע הישראלי הקדוש ושמירת הברית המתגלה בבנים (אליהו), מתאחדים באחרית הימים.
ל	צריך לעורר את תחיית ישראל בכל כוחות האומה, העתידים לפרוח בארץ ישראל ויונקים ממנה את כוחם.
לא	טועים הם החושבים להפריד בין דת ישראל ללאומיותו, וטועים גם הנלחמים באותם טועים באופן הנראה כאילו ניתן באמת לנתקם.
לב	הנשמה הפרטית, הלאומית והעולמית,  צועקת ומתאמצת לעלות אל הרום ולהתגלות, ובפרט בעת הגאולה, ואשרי המקשיב לכך.
