א	חכמת הקודש מהפכת את הרצון ואת תכונת הנפש של לומדיה, ואינה רק מציירת את הקיים במציאות.
ב	ידיעת העולם שמצד החול, הנה אפסית לעומת הידיעה הבאה מצד הקודש, שכן מציאות החול הנה רק צל של המציאות העליונה.
ג*	חכמת הקודש מחיה ומעטרת בשאיפות הטוב את כל החכמות שבעולם, וכל כוונות התורה והתפילה הנן שבילים לגלות אותה.
ד	האמת האלוהית היא הגבוהה ביותר וגם הפשוטה והנחוצה ביותר, והניסיון להקטינה ולעשותה פופולרית מכביד עליה.
ה	רזי התורה נתבעים מהדור אשר הוכן אליהם, ומניעתם מביאה לרפיונו, והאִלמות המילולית לא תעצור את גילויים.
ו	התאמת סדרי העולם לתכליתו, המתגלה במדע של ימינו, מכשירה את גילויים של מעשה בראשית ומעשה מרכבה.
ט	הפילוסופיה שרויה בעולם הפירוד, ורק הסוד מאחד את כל המחשבות, והוא נשמת האומה ומדריך הכלל.
יא	כל ההכרות משפיעות על הוגיהן מאופיין הפנימי, הסותר את אופיין של ההכרות האחרות, ואיחודן בא רק על-ידי מקורן האלוהי.
יג	בתחילת ההכרה הידיעות סותרות זו את זו, אך ככל שהיא מתפתחת, ניכר איך בתמציתן הן משלימות זו את זו, עד לאיחודן האורגני.
יד	ישנן דעות שצריך לדחותן תחילה כדי שלא יזיקו, ובגבורה רוחנית ניתן לשאוב את טל החיים שבפנימיותן.
טו	חילוקי הדעות נזקקים, כדי שכל דעה תתפתח באופן עצמאי, ולא תטושטש על-ידי חברתה, ומתוכם באה האחדות.
טז	המחשבות השונות סותרות רק בצלליהן, אך בשורשן הן מאוחדות, וישראל קשורים בשורש האחדותי.
יז	כל רעיון קטן הוא חלק מהיגיון שלם, ומשתלשל ממנו, וגם לרעיונות הדופי יש שורש עליון, וצריך למוצאו ולהמשיכו בהם.
כא	העדר אחדות המחשבות, ובייחוד אי-התאמתן, גורמים לייסורים, וככל שגובר הרצון לאחדם ולהתאימם, גוברת אחדותם והתאמתם. ישראל אינם מסוגלים לסבול סתירה ופירוד, ולכן פיזורם הוא רק ארעי.
כב	בעתיד יכיר האדם, שכל מקצוע מדעי ורגשי משקף בקרבו את כל המקצועות האחרים, וזקוק להשלמתם.
כג	התורה וההלכה מקורן באמת העליונה, ולכן עדיפות הן על הנבואה והאגדה שמקורן בפנימיות האדם, והיפוך סדרן הוא צרת גלות.
כד	תיקון העולם בא מהתאחדות התפארת שבתורה שבכתב, והגבורה המלכותית שבתורה שבעל-פה, ומהשפעתן ההדדית.
כה	איחוד ההלכה והאגדה יביא להפריה והשלמה הדדית, וישפיע אחדות והרמוניה בתחומים רבים.
כו	בפנימיות, נמצאת תמצית הלכתית באגדה ותוכן אגדי בהלכה, ועלינו להבליט זאת ולאחדם, ומתביעה זו נולדו הפלפולים באגדה.
כח	ישנו צער גדול במעבר מתלמוד עיוני ושירי לתלמוד ההלכות הקצובות, ולכן יש לרפדן ברפידות החופש והטוהר השמימי.
כט	התורה משפיעה על ישראל השפעה רזית (רוח-הקודש) והשפעה גלויה ומעשית באופן ישיר, ובאומות רוח הקודש נשפע רק ממעשיהם.
