א	(א1)	כשם שצריך להעלות את המחשבות הנפולות, כך צריך להעלות את המחשבות הכשרות הרדודות.
ב	(א2)	החוצפה של עקבתא דמשיחא באה מתוך רצון פנימי לקשר את כל פרטי החיים עם הכלל.
ג	(ב1)	לימוד תורה לשמה בא על-ידי ההכרה וההרגשה, איך האור הכללי שבתורה מתפלש בכל פרטיה.
ד	(ב2)	אחת הסיבות לעצבות היא נטייה להנאה גסה, וראוי להפוך יגון זה לששון, על-ידי עליית הנשמה מנטייה זו.
ה	(ב3)	ההנהגה המקושרת עם המוסר הטבעי, נמשכת משם א-להים, והבחירה הכמוסה העל-טבעית, זורחת משם הוויה.
ו	(ב4)	כשהקדושה העליונה מופיעה על היחיד והציבור, היא מעדנת ומעלה את כל הרצונות הפרטיים והכלליים, והם נעשים לה לכלי.
ז	(ב4*)	כשגדולי הנשמה נטפלים לעסקי החיים, הם ממשיכים בהם קדושה ומעלים אותם, ושואבים מהם ניצוצות קדושה.
ח	(ה1)	בעתיד – הטבע יהיה מלא רצון כנס, והנס יזריח באור גנוז עליון ממנו.
ט	(ה2)	גרעין הצדק של כת המדברים הוא, שבקדושה כל האפשרי והמדומה הוא באמת מצוי.
י	(ה3)	ההשערות האפשריות בתכני הקודש הם השירים היותר נשגבים.
יא	(ה4)	כל תנועה, דיבור ונטייה, גשמית וקל-וחומר רוחנית, מסובב השפעות רוממות, אשר רק ישראל בגבורתם יכולים לראותן בלי להסתמא.
יב	(ו1)	האידיאליות ההוויתית מתפשטת ונכפלת בהפגשה עם ציורי הבינה השכליים, ומולידה מידות מעשיות.
יג	(ו2)	תיקון הגוף והמדינה יש בו קדושה עליונה, הגנוזה מחמת ריבויה, והמצוות מגלות אותה כלפי חוץ (כפעולת הציצית בטלית).
יד	(ז1)	נשמות רשעי ישראל חוצות את ים התוהו, כדי להשיג אור שביכולתו לבסס חיים יהודיים מתוקנים, והן משוועות לעזרה מן הצדיקים.
טו	(ח1)	אהבת ישראל ועבודת הסנגוריה הנן מקצועות גדולים בתורה.
טז	(ח2)	מי שמרגיש קרוב למחשבת האחדות, אל ייסוג ממחשבות גדולות, אף-על-פי שנדמה לו כאילו הוא רודף גדולה וכבוד.
יז	(ח3)	אין להיבהל מכך, שכשלומדים את העניינים הגבוהים צריכים לחזור על ההקדמות הפשוטות והיסודיות.
יח	(ט1)	רזי התורה מאירים את המוסר ואת החיים, אך בהירותם תלויה בבריאות הנפש ובפשטות החיים.
יט	(ט2)	עת הרצון הכללי והפרטי תלויים זה בזה, ולכן התעוררות החוש האסתטי, וקל-וחומר התורה ופנימיותה, מכשירים גילויים עליונים.
כ	(ט3)	עבודת התפילה והקרבנות מעלה את הדמיון הגס והעָצמתי ומזככת אותו, ובית המקדש מרכז את כל כוחות החיים בעולם.
כא	(יא1)	בעקבא דמשיחא הנפש יותר מתוקנת בפושעים הקשורים לכלל, והרוח יותר מתוקנת בצדיקים, ובאורו של משיח יתקנו אלו את אלו.
כב	(יב1)	אהבת הבריות העוסקים בענייני העולם הזה, מיישבת את דעת העוסקים ברוחניות עליונה, על-ידי הכרתם בייעודם השונה.
כג	(יב2)	התשוקה הרוחנית צריכה להתקשר עם העולם הריאלי, כדי שלא תעבור את מידתה, והעולם המעשי צריך להתקשר לשרשו.
כד	(יג1)	הלימוד והמעשה ממשיכים אור גדול יותר מהמתגלה בהם, ובעת רצון חודרת אותה הארה ללימוד והמעשה עצמם.
כה	(יג2)	רצון האדם ושכלו מאוחדים עם העולם, ובפרט על-ידי ההתאחדות עם העניין הרוחני, ולכן תפילת הצדיקים עושה פירות.
כו	(יג3)	התאמת הידיעות העליונות זו לזו היא הראיה על אמיתתן, והמחקר הוא רק אמצעי לידיעה כזו.
כז	(יד1)	ישראל מגלים, שדווקא השאיפות העליונות והנצחיות, מחיות את העולם המוגבל והזמני, מפני שהוא גילוי חלקי שלהן.
כח	(יד2)	ישראל מגלים את יד ה' בעולם, ולכן הנהגתם היא ניסית ועל-טבעית, והם ראויים לנבואה.
כט	(יד3)	תשובתם של ישראל תבוא רק בהשבת סגולת רוח-הקודש על-ידי בעלי הסוד, המלקטים ניצוצות משיחיים שנפלו, ולא במעשים חיצוניים.
ל	(טו1)	לפעמים התפרצות של דור משמשת כהוראת שעה של נביא לעבור על דברי תורה.
לא	(טו2)	החכמה (ה"יש") מגבילה ומסדרת את ציורי ה"אַיִן" (יש מאין), אך קודם לה עצם הרצון להגביל שב"אַיִן".
לב	(טז1)	התשובה וזיכוך המידות מקשרים את הגוף לנשמה, כדי שלא תזניח אותו בשעת עלייתה הרוחנית, ותגרום למלחמה ביניהם.
לג	(טז2)	הצדיקים צריכים להיות טבעיים ובריאים, ועל-ידי כך יעלו את כל העולם עמם.
לד	(טז3)	ישנם צדיקים שתורתם ותפילתם ארעית, ואסור להם לשבור את מידותיהם, אלא מוכרחים הם להניח לרצונם להתפשט.
לה	(טז4)	הכפירה באה מתוך רצון פנימי לעבודת הדומיה, כהכנה לחידוש הנבואה שלמעלה מנבואת משה.
לו	(יז1)	נפש החיה שבאדם משתוקקת, מציירת ומדמה, ומשפיעה על היש ללא הרף, ואסור להפריע לה בעמל גופני או רוחני.
לז	(יח1)	אהבת המשפחה של הצדיקים מתפשטת על כנסת ישראל, וממנה הם מתמלאים אהבה לכל היצור כולו, המתאחדת עם אהבת ה'.
לח	(יח2)	התורה המעשית וחיי האמונה והקדושה, מסירים את המכשולים המעכבים את נשמת ישראל מלהתלהב ולהתרחב.
לט	(יח3)	חופש הדעת הכרחי בשעת הלימוד והעיון, אך מזיק בזמן חיי הרגש והדמיון, הזקוקים לדעות קדומות.
מ	(יח4)	ישנם דברים חביבים מאוד, שאינם יכולים להתגלות אלא בצורת חסרונות, ומשום כך הננו מכבדים את אותם חסרונות.
מא	(יח5)	האמונה היא למעלה מן הדעת, ולכן לא קיים בה חופש דעות.
מב	(יט1)	לפי רוב האמונה המתגלה בלב האדם, כך גדלה אהבתו לבריות ויכולתו לתקנם.
מג	(יט2)	האינסטינקט של בעלי האמונה מתגלה בעניינים נשגבים, ושל בעלי התרבות – בענייני מוסר ודעת, וצריך לאחדם.
מד	(יט3)	החינוך הפשוט מתחיל עם בוא הילד לכלל הכרה, והמדעי – בלידה, והאמוני – מהעיבור.
מה	(יט4)	קדושת הכהונה היא האינסטינקט של האמונה, האהבה והיראה, וכל הלימוד והמוסר הנם רק מכשירים את גילוייו.
מו	(כ1)	קדושת הכהונה מתנוצצת בכל המהלך בדרכי הקודש, ומזה באה פעולת התפילה והדיבור.
מז	(כ2)	בירור בירורים הנה עבודת כל אדם, והעלאת העולמות הנה עבודת הצדיקים היחידים (בבחינת עבודת השבת).
מח	(כ3)	מבררי הבירורים עושים את מעשיהם לשם התכלית, ומעלי העולמות – התכלית נעוצה כבר במעשיהם.
מט	(כ4)	לפעמים צדיק אחד מורכב משתי המעלות: בירור בירורים והעלאת העולמות.
נ	(כ5)	בעבודת העלאת העולמות ישנה מדרגה בה אין שום רע יכול לפגוע כלל, שכן הארת העולם הבא מאירה בה.
נא	(כא1)	העלאת העולמות היא עבודת משיח, ושלא כעבודת הבירורים, היא מעלה את כל המציאות, ללא יוצא מן הכלל, במנוחה ועונג.
נב	(כא2)	יש עומק רע שאי-אפשר לבררו אלא להעלותו בלבד, והטוב העליון נופל בתהומות אלו, כדי להכריח את העלאתם.
נג	(כא3)	שורש דוד בקליפת עמון ומואב, כדי להעלות את העולם כולו, ומשאיפת שלמות זו בא רצון הצדיקים להשמיד את העולם הפגום.
נד	(כב1)	טעם הקרבנות על-פי הרמב"ם נכון גם לאחר שבטלה העבודה הזרה, כשם שבריאת העולם מתחדשת תמיד.
נה	(כב2)	מצוות שעבר טעמן, ניתן לבטלן כהוראת שעה בלבד, כדי שלא לפגום בהכרה באלוהיותה של התורה.
נו	(כג1)	תורה שבכתב אנו מקבלים מהצינור המקיף של הנשמה, ומקבלים ממנה מבט על-שכלי.
נז	(כג2)	תורה שבעל-פה אנו מקבלים מהצינור היורד אל חיי המעשה, על-ידי נביעתה מרוח האומה, ואף-על-פי-כן היא כלולה בתורה שבכתב.
נח	(כג3)	בילדותי הייתי מריח סרחון בית הכיסא מבתי התפלות של הגויים.
