א	שלושת הכוחות הנאבקים ביניהם בתוך מחננו – הקודש, האומה והאנושיות, צריכים להתאחד.
ב	הקודש המיוצג על-ידי האורתודוכסיה, והלאומיות החדשה, והליברליות, זקוקים זה לזה ומאזנים זה את זה.
ג	הצורך בדבקות האלוהית בא מאיגוד כל הנשמות והברואים בצרור החיים, והצדיק בדבקותו מעלה ומיטיב עם הכל.
ד	אהבת הצדיקים מתפשטת על כל היצורים, ומתוך הרחבתה היא חוזרת ומתכנסת בישראל בעצמה רבה, המפרה את הכוחות הלאומיים.
ה	מחשבת העלאת הניצוצות נובעת מאחדות ההוויה, הקושרת את עליית האדם עם כל הקשור אליו.
ו	אהבה עצמית חיובית היא, כשאוהב את עצמו כחלק מההוויה המאוחדת, ושלילית אך כשאוהב את עצמו כמנותק, זוהי אהבה מזויפת.
ז	כל כשרון אנושי המתעלה, וכל מחשבה אידיאלית, הנם ניצוצות האידיאל העליון, המתעלים להיכלל בשורשם.
ח	התפתחות האנושות מאפשרת לדורנו הקטן דבקות חובקת-כל, אף שבדורות קודמים הייתה רק עבודת יחידים.
ט	גם הכעס והקנאה שמקורם בקדושה, כחטאו של משה, מוכרחים להיתקן על-ידי רזי תורה מיסודו של אליהו המבשר שלום.
י	ההכרות הפנימיות פורצות מעצמן כשמסירים את מונעיהן, והצדיקים מעלים בהן את העולם, ובייחוד את הדבקים בהם.
יא	התשובה שבבינה סובלת מחלישות החרטה, ושבחכמה – פוגשת בשמחת ההפיכה לזכות, ובכתר מתגלה שמעולם לא היה חטא.
יב	אם צריך כפרה על הסתגפות חושנית, קל-וחומר שאסור לדכא את החושים הרוחניים, אלא יש לעדנם בזיכוך המידות.
יג	משפע רוח הקודש מתמלאת נשמת הצדיקים בעונג המצוות, ומשפיעה על כל הנשמות אהבת המצוות והמנהגים, אך צריך לבררם.
יד	כשהקדושה מתגברת, השכל משפיע על הדמיון מקווי זוהרו, והדמיון על השכל מקרני הודו.
טו	הנשמות הישָנות אחוזות בגוף, ועליהן לכלות על-ידי הוצאת תפקידן הגופני אל הפועל, ולהתעלות מעליו.
טז	האהבה והיראה הנן אותו גילוי, שבהופעתו מלמעלה למטה מתגלה כאהבה, ומלמטה למעלה – כיראה.
יז	שלילת הגבורה שנגרמת מהיראה, צריכה להיות מופנית כלפי הרע שבנפש, ולא לעצמיות הנפשית והמחשבתית.
יח	התפילה הנה התרוממות הרצון הפרטי אל הרצון האלוהי, ובהכרת אחדות הרצונות מתגשמת התפילה.
יט	הריקניות שבחיים מתמלאת משפעת אורם של הצדיקים.
כ	הלב הומה לאהוב את הכל, בייחוד את גדולי האמונה, הדעה והחסידות.
כא	פתרון חידת החיים בהשקפה חומרית מיוסדת על ספקנות וזעם, וראיית העולם הזה כפרוזדור מביאה לגבורה ואומץ.
כב	היראה וקיום המצוות צריכים לבוא ממקור אלוהי הכולל את הכל, והחלפתם בתרבות אנושית, המיוסדים על חיי החושים, לא תצלח.
כג	תהיית האדם על הצורך בברואים הרבים ויחסו אליהם, נפתרת בהבנת אחדות הדצח"מ.
כד	חטאי האדם, ישראל והבריאה, באו מתוך התנכרותם לעצמיותם, ורק בבקשת ה"אני" העצמי יתוקן החטא ותבוא הגאולה.
כה	צער היצירה מהתפרקות הסדר בעולמות העליונים לשם ירידתם, מתנחם בהארתו בהוויה, ויוצרים עמוקים חשים בו.
כו	כשמסתכלים בהופעות עליונות, אף בלא הבנה, וחוזרים עליהן בישוב השכל, במשך הזמן הן משפיעות על השכל, המוסר והנשמה.
כז	כשם שהתפילה מתעכלת ומתהפכת לתורה, כך בכל געגוע טבעי, ובפרט באהבת האומה וקנייניה, מאירות אותיות התורה.
כח	כל רעיון פועל כראוי רק כשמתבטלת הצטיירותו החיצונית, אך הרקבת החיצוניות בצורה מלאכותית, אינה מועילה אלא מזיקה.
כט	הנשמה בגדלותה משוחררת מכבלי הגוף, אך שומרת על זיקה וכבוד אליו.
ל	הצדיק עומד בין האלוהים ובין העולם, ונטיותיו הם האקורדים של חיי האלוהות בעולם, ופעולותיו נדחפות מעבודת כל הנשמות.
לא	התגשמות  החיים הרוחניים זקוקה לגבורה, הנושבת מתוך העוז העליון שבחסד הגנוז, הממתיק את צער ההתגשמות.
לב	תשובת הצדיקים הופכת את חטאי העולם לזכות, על-ידי אהבתם וקישורם לעולם כולו, ובייחוד לישראל.
לג	כשהרע מתבטא בבירור ויוצא אל הפועל – כוחו נחלש, והוא מעורר את הצדיקים להתבטא כנגדו בבירור, והקדושה היוצאת אל הפועל – כוחה גדל.
לד	הצדיקים נותנים לאנושות את צורתה האידיאלית על-ידי דבקותה בהם, וכל תיקוני המוסר אינם אלא שלב המכשיר עליה זו.
לה	החסד בהתפשטותו עלול לפגוע במוסר, המכיר בגבולות ובחילוקי המדרגות, והייסורים הבאים מכך לאוחזים בו, מבררים אותו.
לו	המחשבה הסודית על האצילות כמקור ההוויה התמידי, היא מקור החופש והשירה בעולם.
לז	הקדושה באה מהארת הדעת וההכרה, המרוממת את שלהבת החיים על כל דרגותיהם, וגורמת לאדם לרצות לקשר את הכל למקורו.
לח	בעלי הכשרונות העליונים, נשמתם ורצונם והגיונותיהם לוהטים, גם בזמן מנוחתם.
לט	בעלי המחשבות הזכות מצטערים בבואם לצמצם מחשבותיהם בדיבור, וכשהם צריכים לדבר, הם מספיגים דבריהם במחשבות קודש.
מ	כשרון החסד ותכונותיו ניכרים ופועלים יותר מביטויי הוצאתו אל הפועל, ביחיד ובאומה.
מא	הרעיונות, המחשבות והרגשות, יונקות אלו מאלו, ומסביבתן הקרובה והרחוקה, ובטביעות עין רוחנית מכירים את דרכי יניקתן.
מב	ההכרה האלוהית זורחת באדם לפי תכונת עצמות החיים שלו, ולכן פגם מוסרי הוא גידוף כלפי מעלה, ועליה מוסרית הנה תהילה.
מג	התפילה מחייה את הרוח, על-ידי הבעת הרצון כלפי האלוהות, ותפילות ישראל שבכל דור, מעלות את הכשרון העליון של התפילה.
מד	אם הצדיק נופל באכילתו, מפני שהנפש הבהמית הטתה את רצונו, הוא שב מיד ומתקדש למפרע, ומעלה את כוחות חיים שנפלו.
מה	תשובת ישראל תבוא מתוך רוח הקודש, שאינה סרה מהם לעולם, ומתגלה בבחיריהם על-ידי רזי תורה.
מו	השאיפה האצילית היא מזיגה של השכל עם הרצון, המביאה למהות חדשה בעלת אור חדש ("דעת").
מז	כוחו של הרצון האנושי, תלוי ביניקתו מהרצון האלוהי, ומטרת כל המוסר היא להגביר יניקה זו.
מח	הצדיקים מעלים באכילתם את כוחות השכל, הרצון והשירה, הנמצאים בכל היצורים במצב תרדמה.
מט	קדושת האכילה של ישראל, בצורתה האידיאלית-ריאלית גדולה מהמוסר הסובייקטיבי של בית עשו.
נ	אכילת הצדיקים מרימה את כוחות החיים שבארץ, ומתקנת את הפירוד בין אנשי הרוח ומנהיגי החברה, שבא כתוצאה מחטא הארץ.
נא	המחשבה על אושר הבא מחוץ לאדם מביאה לעצבות, ואילו ההכרה בערך הרצון והחופש שבהתעלותו, מביאה שמחה רבה.
נב	צריך להתגבר על היראה מהדמיון ולפתחו, כדי שהוא יהיה בסיס לשכל.
נג	בעל הנשמה הרחבה מתנחם מיסוריו הבאים מהתפרטות המחשבה שבבינה, בהכרתו שהדעת המופשטת היא המניחה את אוצרה שם.
נד	כשם שהנשמה היא האדריכלית המגלמת את הגוף, ובהתעלות הגוף הוא מתאחד עם מקורו, כך גם יחס נשמת העולם וגופו.
נה	ניתוק העולם מהטבע בא כדי לזככו מהטבעיות האלילית השפלה, וישראל עתידים לאחדו עם האצילות.
נו	המחשבה הדמיונית לתפוס את עצמות ה' הנה גאווה, והשלילה הבאה מעצמת החיוב מביאה לענווה ולעיסוק בתורה לשמה.
נז	השכל האנושי מכיר את פנימיות הטוב, והשכל האלוהי את פנימי-הפנימיות, היורדת לחיצוני-החיצוניות.
נח	יראת שמים מחלישה את הגבורה החומרית, כדי להגביר את האידיאלית, וכשהיא אינה טהורה היא מחלישה את הגבורה הרוחנית.
נט	המחשבות הפרטיות מרחיבות את הדעת לפי עומק הלשד שבהן, הנובע מהרצון הכללי השופע בלימוד התורה לשמה.
ס	הננו רואים בחזון, איך רוח המדע ורוח האמונה מתאחדות ובונות יחד את רוח האדם, למרות תכונותיהן הסותרות.
סא	המוסר והמצוות באים לטהר את הנשמה מסיגיה, כדי שתוכל למצוא את השקפת עולמה בקרבה פנימה.
סב	כשם שהאלילות הקטינה את האדם בשעבדהּ אותו, כך הסלחנות של דתות האהבה מחלישות את רוחו.
סג	השלמת האדם והכלל מוכרחת להתבסס על השיבה אל הטבע, המוסר, ויסוד האומה, ועל-גביהן תחול הקדושה העליונה.
סד	אורם של ישראל מתקן את פנימיות העולמות, והתרבות מתקנת את חיצוניותם, ובהתעלות רוח האדם תתאחדנה השפעות אלו.
סה	כל מחשבה, טובה או רעה, פועלת רבות אף אם לא הגיעה לידי מעשה.
סו	העיסוק בפרק שירה הנו תשובה אל הטבע בצורה עליונה, המתקנת את הרע משורשו, כפי שהיה קודם החטא.
סז	לצדיקים קשה להתפלל, כיוון שאמונתם בחסד ה' ממתיקה את כל צרותיהם, והם מכוונים בתפילתם לגילוי חסד ה' שבסידור העולם.
סח	החטא קורע את האחדות של הדעה והרצון, ומונע את הארת החכמה העליונה.
סט	בעתיד יכיר האדם, שכל מקצוע מדעי ורגשי משקף בקרבו את כל המקצועות האחרים, וזקוק להשלמתם.
ע	עצבות חכמי הלב, הבאה מצערם על חסרונות העולם, הגשמיים והרוחניים, מגבירה את הרצון ומחדדת את המחשבה אל הטוב הגמור.
עא	המחשבות המבוררות קטנות מהעמומות, וכשהן לעצמן הן מזיקות, אך הן נזקקות כדי שלא להיתפס בעמומיות עצמה.
עב	התורה והמצוות מקשרות את האדם לכנסת ישראל, בצערה ובשמחתה, ובשמחת חידושי הזמנים שלה.
עג	ההתפשטות הבלתי-גבולית והצמצום אל תוך הגבול, משמשים כחסד מצד תפקידם העצמי, וכגבורה מצד התנגדותם לזולתם.
עד	החכמים היחידים מעלים בציוריהם הקדושים נשמות רבות, על-ידי קישורם אליהן, ובייחוד בישראל.
עה	תכלית המעשה והלימוד הוא התגלות כוח הנשמה לשאוב שפע עדינות ויושר, רצון טהור והכרה עליונה.
עו	התורה מזככת את המידות, על-ידי התכללות הנפש במקורה העליון, ושובה אל הגוף בשפע אצילות ועדינות.
עז	התורה והמצוות, המנהגים והתפילה, הם ביטויי עושר ההופעה של נשמת ישראל.
עח	תביעת עלבונו של העולם המוחשי שנזנח לטובת הקדושה, היא מרגלית יקרה שנמצאת ברפש הכפירה.
עט	היחידים, חושבי המחשבות, זקוקים לבריאות ההמון וטבעיותו, ומשפיעים עליו ממדרגתם הפנימית.
פ	התפילה מחברת את הצדיקים עם ההמון, את ישראל עם העולם, ואת האדם עם בעלי החיים.
פא	הקודש מתגלה רק בחושים המיוחדים לו, והבא לגלותו בחושי חול, עלול לחרף ולגדף.
פב	המון העם בשנאתם את הרע מוכרחים לשנוא גם את הרשעים, אך המידה העליונה היא הפרדת הטוב מהרע, ושנאת הרע בלבד.
פג	בהתקשרות לכנסת ישראל מרגישים את קול ה' העובר דרך כנסת ישראל, הדובר את התורה שבעל-פה מתוך התורה שבכתב.
פד	מחשבות אנושיות משתלשלות אלו מאלו וצריך לקשרן, ומחשבות הקודש נובעות כולן ממקורן הכללי באופן ישיר.
פה	מערכה אורגנית של המעשים והדעות של כל הדורות, נמצאת בכל נשמה, והמנתק את עצמו ממנה קורע את נשמתו.
פו	היופי שבמסורת והעומק שבהכרות העצמיות, צריכים הם זה לזה.
פז	כשהעצבות מתגברת, יידע שממקור היגון יבוא הששון, כשם שהתוהו קודם לתיקון.
פח	כל חטא מטיל חרדה מיוחדת על הנפש, הניכרת במראה, בדיבור, בתנועה ובכתיבה, והתשובה מתקנת אותה.
פט	המגמה המינית עומדת ביסוד החיים הנצחיים, ולכן תיקון יסוד קודש זה הנו יסוד המוסר, ועתידה התרבות להכיר בכך.
צ	ככל שתגבר השפעת המחשבה האצילית על הדיבור, תבוסס ותתקדש הנטייה המינית של האדם, ותשפיע אור חיים בכוח הדיבור.
צא	התרבות החדשה תמצא את החופש שהיא מבקשת, רק כשתסגל לעצמה את כל הטוב שבמסורת.
צב	הקישור לעולם העשייה ונטיית תיקונו, הביא לקנאותו של אליהו, והם שיביאו את השלום ואת עילויו של עולם העשייה.
צג	דווקא הנשמות הגדולות מכירות בחורבן ובאומללות הרשעים, הנגרמים מריקניותם.
צד	מצמאון הקדושה הבא בזמנים מיוחדים, אפשר לראות את חשיבות העיסוק בתורה בהתמדה ובאהבה, המביא לדבקות.
צה	האדם שולט בעולם ומשפיע עליו, על-ידי אחדותו הפנימית עם הדצח"מ.
צו	לפעמים נשמת היחיד והעולם משתלמת בצביונה, ולפעמים היא מתמזגת עם החיים כדי לשפרם, ושתי הדרכים מעורבות זו בזו.
צז	כשאדם מרגיש עלוב וריקני, יידע שאור גדול מוכן לפניו, ועוונותיו מתייצבים כדי שיצא מעומק האפלה לאור גדול.
צח	כשהנשמה מאירה, ניכר שכל הרע נובע מפיזור המעשים, הרגשות והדעות, ושראיית אחדותם מעמידתו כשלב בסולם הטוב.
צט	אל ייבהל הצדיק אם אינו יכול ליישב עצמו במצווה ועבודה מפני דבקותו, אלא יגביר את דבקותו וימשיכנה על מעשיו כפי יכולתו.
ק	המחלוקת נובעת מהתפשטות המנהיג על בני חוגו, אף ששורשי נשמותיהם אינם כלולים בו, ועל-ידי התשובה מתרחבת נשמתו וכוללתם.
קא	אחד הדרכים של תורה לשמה הוא העשרת רוחניות כנסת ישראל, ובכך מתעלה גם היחיד המשפיע.
קב	הענווה מורידה ומקשרת את הדעת העליונה של האדם לעומק נשמתו, ואילו הגאווה מונעת את חדירתה, ונשאר האדם שקוע באפלה.
קג	המוסר המתחדש לפי חיי השעה (מלכות), מחובר בקביעות עם התורה העליונה ממנו, האחוזה באופיו הקבוע של האדם (תפארת).
קד	"ורואה אני איך הנשמות צומחות, איך החיים באים לידי גילויים...".
קה	עבודת ה' בינונית נחשבת לחסרת חדווה בזמן גדלות הנפש, וגדלות הנפש נחשבת לגאווה בזמן המתאים לעבודה בינונית.
קו	המגמות האידיאליות (אריך אנפין) יונקות חיותן מגופן, והמגמות המעשיות (זעיר אנפין) משתלשלות זו מזו, ובמבט בהיר ניכרת אחדותם.
קז	במעבר ממחשבות כלליות למחשבות פרטיות מרגישים צער וכיווץ, המתיישבים בהבנת חשיבות הפרטים והשפעתם על הכללים.
קח	חיבור הרגשת הקדושה עם הבינה העליונה, מחבר את האדם לכל היצורים, לשיר יחד שירה לה' בחופש, הנחקק בדפוס התורה.
קט	הקודש הולך וכובש את העולם, והמחשבות הפשוטות והמידות הטובות, תתגלינה ותהיינה למוסדות החיים והחברה.
