א	ההבנה המוסרית בהנהגת העולם, הפנימית והחופשית, גדולה מההבנה הסיבתית, החוקתית והחיצונית, ומחייה אותה.
ב	לפי ההבנה הסיבתית, הגלות היא תוצאה של ההתנתקות מהקודש, אך לפי ההבנה המוסרית הגלות מוכרחת לבוא.
ג	השקט שבהתבודדות היחיד ועם ישראל, פועל על הסביבה יותר מכל תעמולה חיצונית רועשת, וזוהי העבודה הנדרשת כעת.
ד	במציאות המצומצמת של זעיר אנפין, כביכול יש רע וטוב, אך בשורשו שבעתיק יומין יש רק טוב, וטוב יותר עליון.
ה	אותיות המחשבה הבודדות נשגבות מאלו המתרכבות, ומתוך שלמותן אינן זקוקות להרכבה, ורק אחרי נפילתן יש צורך בהתרכבותן.
ו	הרזיות מלמדת אותנו לגלות את האור והחיים שבמציאות שעמה אנו נפגשים.
ז	ערך ההזרחות הרוחניות הנספגות בעצמיות, נמדד לפי מקורן, ולכן העוסקים בתורה זוכים לחיים ואושר הבאים ממקור האורה העליון.
ח	רק דעות היונקות ממקור הקודש מסוגלות לכלול את ענייני החומר ולהעלותם, והמחשבות המפרידות הן תולדות המזיקים חסרי הגוף.
ט	הדמיון המואר משם אדנות, יונק מהשכל המואר משם הוויה, היונק מהופעת הקודש המוארת משם א-היה, ובאיחודם מתייצב עולם מלא.
י	מקושי המעבר בין סגנונות בלימוד, ניתן ללמוד קל-וחומר עד כמה עלולות ידיעות החול להפריע לקישור אל הקודש, ומהתרכזות בקודש מקבלים הכל.
יא	הנשמה שואפת לייחוד העליון, ייחוד האור האלוהי במקורו, ובירידתה היא מתנחמת בייחוד תחתון – קישור העולמות לשורשם.
יב	כשישראל בגדולתם מאיר בהם הייחוד העליון, ובנפילתם מאיר בהם רק הייחוד התחתון, שיש בו יניקה לחיצונים, וזהו מקור צער השכינה.
יג	ארץ ישראל אינה קניין חיצוני לאומה אלא חבוקה בסגולתה, ולכן תוכנה אינו מתגלה בהשכלה רציונאלית, וקיום היהדות בגולה תלוי בציפייה אליה.
יד	משה לא נכנס לארץ ישראל, מפני הכנתו את התפשטותה על כל הארצות, ובתפילותיו הכניס את סגולות כל הארצות אליה בגניזה.
טו	בנטייה הקטנה של יושר ודת טבעיים, גנוזה גדולה עליונה, ומלחמתה בגדלות הבינונית נובעת בעמקה מתביעה לגדלות עליונה.
טז	כשם שהיחיד רואה סימן ברכה רק בלימוד מכמה רבנים, כך הציבור מתברך באיחוד דעות כל גדולי הדורות, אף השוללות זו את זו.
יז	עצבות היחיד שיסודה בגוף, ועצבות האומה בגולה, באים מהמוות, ורפואתם היא על-ידי טל תחיית המתים.
יח	המתקנים את עצב הגוף הנובע ממארת הנחש, זוכים לתחיית המתים.
יט	התפילין מקדשות את הגוף, ובכך מוחקות את עצבות הגוף.
כ	באור תחיית המתים סרה הקנאה, הנובעת מעצבות הגוף שמזוהמת הנחש.
כא	הזרחת אור תחיית האומה על-ידי רזי תורה ואור התפילין, מסירה את העצבות ואת קנאת אפרים ויהודה.
כב	ישנם דברים גדולים בעצמיותם, הנראים כקטנים בגלל עצבות הגוף, ואצל גדולים ישנה קטנות, שאצל אחרים היא גדלות.
כג	נטיית החסד צריכה הגבלה כדי שבעליה לא ייפגע מהשפעתה החוזרת מהרשעים, ולכן הגבילה התורה את עשיית החסד עמהם.
כד	רק כשההבנה האלוהית טהורה מסיגים היא מאירה ומחייה את העולם, וכשהיא מעורבת בסיגים היא מקור הרשע.
