שפט	אי-אפשר לעצור את האהבה האלוהית של חסידי הקודש, שכל הלימוד והמעשה הם הֶכשרים להתפשטותה על כל החיים.
שצ	אי-אפשר שלא לאהוב את ה' ואת טובו המלא את העולם.
שצא	פיתוח חושי האהבה, האסתטיקה והספרות, מכשיר את הנשמה לאהבת ה' ולתפארת אצילית.
שצב	כשם שהתארים השלילים נזקקים כדי לזכך את התארים החיוביים, כך הם נזקקים לזיכוך אהבת ה' ולהבחנה בינה ובין אהבה רגילה.
שצג	אהבת הבריות של הצדיקים הנה תולדה של אהבת ה', שכן אהבתם מתמלאת רק באהבת ה'.
שצג2	כל המעשים, עם כל סיבוכיהם, סובבים סביב נקודת העונג והנועם של ה', ועמל גדולי הדעה הוא להתאימם אליה.
שצד	האמונה הטבעית מזלפת בחשאי טל חיים על הנפש וכוחותיה, ומכשירתה את האדם להיות צדיק וחסיד ואוהב הבריות.
שצה	כשהצימאון האלוהי מתפרץ בנשמות הצדיקים הם משפיעים על נפשות ישראל אהבה וסליחה.
שצו	תסיסת הלב וגעגועיו לא-להים, וזרמי האהבה והיראה שבנשמה, הרי הם יסורי אהבה, ובגילוי נחליהם יימצאו בהם מעיינות דעת.
שצו2	צריך לדעת להעריך את געגועיו לה' הבאים מהתגלות נשמתו, ולפתח כשרון זה.
שצז	החטא ממעט את יכולת הקיבול של כלי הנפש בצימאונה לה' וגורם לשבירתם, והאמונה בחסד ה' מהפכת את צער הצימאון לנועם.
שצז2	כששלהבת אהבת ה' בוערת, אין להיבהל משום חשבון, וצריך להתענג על ה' בכל עוז ולפצוח בשירי זמרה.
שצח	מרגישים אנו את נועם האהבה והיראה, ואת מבועי החיים החודרים בנו והנובעים מעצם הווייתנו.
שצט	העונג שבאהבת ה' העליונה, גדול מעונג מסירות הנפש, שכן היא הופכת כל מר למתוק.
ת	אהבת ה' אינה יכולה להתמלא בכלי ההוויה, ורק ניצוצות שנשארו אפשר לקלוט.
תב	הנשמה שואפת להתענג על ה' מפני שזהו תוכן החיים, ומצטערת בפגישתה עם הלכות קצובות, ומצפה לאור שיחדור בהן.
תג	התשובה מאהבה גדולה מהעבודה המעשית, ושעשועי הצדיקים ממנה מגבירים את נביעת חיי הקודש בנשמות רבות ועמים רבים.
תג2	המבקש את ה' תמיד, יידע שצמאונו אינו רק בעבור עצמו, אלא בעבור כל העולם.
תד	ככל שמתקדש האדם, הוא מרגיש את אחדות הפירודים והתקשרותם בשורשם, ותשוקתו לתורה גוברת.
תה	רק על בסיס אהבת הבריות והעמים, ולימוד דעותיהם ואופיים, תתנשא כראוי אהבת האומה.
תו	האהבה הטהורה מתפשטת מנפש האוהב וכוללת את הנפש האהובה, וכשהנפש גדולה, היא יכולה להכיל אהבות רבות.
תז	כשאהבת ה' מתפשטת עליו, אל יתיירא מעוונותיו וחסרון יראתו, שכן עונג עליון זה גדול בערכו משנים רבות של עבודה תמימה.
תח	הצדיקים העליונים אוהבים את ההתייחדות עם נשמתם בשורשה העליון, ומתוך כך הם באים לאהבה עליונה, המתאחדת עם היראה.
תח2	באמונה הגדולה, המחוברת לאהבה, יראה ודבקות, מאיר כל הטוב שבעולם.
תט	אבוקת הקודש של נשמת ישראל מאירה באור איכותי, ותולדותיה הכהים מתערבים במחשכי העמים ומתעבים, וגם בחושך עצמו יש זיקי אור.
תי	אושר הנשמות וכל המידות הטובות הם ענפי האהבה האלוהית, הזורחת לפי בהירות האמונה, וזו תחדור בהמון בלא דמיונות, רק בחינוך הדרגתי.
תיב	הלב הומה לאהוב את הכל, בייחוד את גדולי האמונה, הדעה והחסידות.
תיז	כשם שהצרות הן מלח העולם, כך יראת העונש היא הבסיס שעליו נבנים בנייני פאר רוחניים.
תיח	תפקיד יראת העונש הוא לעורר את יראת הרוממות, אך כשהיא לעצמה הרי היא מפלצת.
תיט	כשיראת העונש מתרחבת, היא עצמה עונש וייסורים, אך יש בה טוב, שכן היא ממרקת את האדם ונעשית בסיס ליראת הרוממות.
תיט2	הדקדוק המעשי שבא מיראת העונש, סופו להתעלות ולהתהפך לגבורת קודש ואהבה עליונה.
תכ	כשם שלפי בהירות הנשמה והאורות מאירים הגוף והכלים, כך בהירות ההשגה וקדושת המעשה מגלים את נשמת יראת העונש.
תכא	אף שיראת העונש קודמת ליראת הרוממות ולאהבה, כשהיא מתגברת יותר מדי היא מעכבת אותם, וכנגדה נלחמת הכפירה.
תכא2	היראה החיצונית מביאה לחולשה רוחנית, והכפירה באה להפיג את הארס שבה.
תכב	ההתחברות עם בעלי היראה החיצונית מזיקה לחסידים המלאים גבורה.
תכג	היראה נועדה להגביל את רק חופש הגוף, ואילו השכל זקוק לחופש, וטועים המחליפים ונותנים חופש לגוף או גבולות לשכל.
תכד	יראת העונש בצורתה האידיאלית, היא יראה מצער סלידת הנפש מן החטא, והיא אחוזה ביראת החטא.
תכד2	כשהיראה מעכבת את חופש הנשמה, צריך לזקקה בחיבורה אל האהבה (גבורת-גבורות), ואז היא עצמה תסייע לחופש הנשמה.
תכה	יראת השמים קודמת ליראת החטא וקובעת את איכותה, וכשזו מתנתקת ממנה, הופכת האחרונה לדלדול וחולשה.
תכה2	צריך אדם לנצח את החלישות שבו, אף אם היא נובעת מיראת שמים ויראת חטא.
תכו	יראת השמים הישראלית מתייחדת בכך, שעם כל עליונותה היא חודרת לפרטים מעשיים.
תכו2	הצער שבא מיראה שלמעלה מערכו, ממרק את האדם, ומכשיר אותו לאותה היראה, וזהו השורש לאהבת היסורים.
תכז	שנות התוהו שקדמו בעולם, השרישו בו את יראת העונש, כדי שתשמר את היראה העליונה, כשמרים ליין.
תכז2	כשיראתו החיצונית מתגברת, צריך להחליפה ביראה של בושה וממנה לעלות ליראת הרוממות, ובכך מתעלים לאהבה.
תכח	האהבה והיראה הנן אותו גילוי, שבהופעתו מלמעלה למטה מתגלה כאהבה, ומלמטה למעלה – כיראה.
תכח2	אם אדם רואה שפחד תדירי חל עליו, יידע שעליו להעלותו ליראה עליונה תמידית שתוכה אהבה, ולגילוי רזי תורה.
תכט	צריך להתיירא ביראה עילאה, שלא לתת ליראה תתאה להעיק עליה.
תכט2	יראת החטא מתקשרת עם יראת ה', ומכשירתה לאהבה העליונה, ומקשרת את ישראל לתורה, לחכמה ולתפילה.
תלא	יראת ה' היא החכמה היותר עמוקה, והיא הנותנת למדע את עמקו, ובלעדיה הוא שטחי וחיצוני. עומק היראה בא מהתמזגות היכולת ואי-היכולת לדעת את ה'.
תלב	חוץ מהבושה של היראה, חודרת בצדיקים בושה פנימית מחשבתית על ריחוקם מה', והם מקבלים אותה באהבה ומעלים אותה.
תלג	יסוד היראה הוא הפחד להפסיק את הדבקות האלוהית, הנפגמת בנטיית התאווה, ומתגברת באור התורה ועֹז התפילה.
תלט	האלילות כובלת את חירות הנשמה, ונשמת אברהם החיה באומה, מתפרצת בשאיפתה לחופש הבא מהדבקות בה'.
תמ	כשם שצריך להתנהג בהתאמה לחוקי הטבע, כך ויותר מכך צריך להסתגל לטבע הרוחני, שהוא הדבקות הכוללת כל אורחות החיים.
תמא	בידיעה האלוהית כלולות כל הידיעות, ובעונג האלוהי כל התענוגות, ומאבקם הראשוני ביתר הכשרונות בא לאפשר את הזרחת האור.
תמב	המציאות וכל פרטיה, כולל ההכרה, באים לשלמותם לפי היתלותם בא-להים, וזהו יסוד הדבקות המדעית, הרגשית והמעשית.
תמב2	והדבקות הדמיונית היא כלי לדבקות השכלית, והתנגדות הרמב"ם אליה היא רק כשאין משתוקקים לבוא על-ידה לדבקות שכלית.
תמג	הדבקות השכלית המענגת, והדבקות הדמיונית המצערת לפעמים, מתאחדות לנקודה אחת ושם ש-די מתגלה עליהן.
תמג2	הדבקות וחופש הדעות אינם סותרים, אלא מפתחים זה את זה.
תמד	יש דבקות הבאה מאור התורה המעשית, ויש דבקות הבאה מצד עצמות הנשמה, וצריך לפעמים למזגן.
תמה	בריאות הנפש משפיעה תענוג קדושה על הגוף ועל השכל, ואחדות כוחות האדם מחטבת את העולם כולו, ומכשירתו לחיי כל עולמים.
תמו	כשדבקים בתורה – דבקים בעץ החיים ממש, ועל-ידי קליטת התורה יתברר לנפש דבר זה, והיא תחמוד בתורה בטבעיות.
תמז	מצמאון הקדושה הבא בזמנים מיוחדים, אפשר לראות את חשיבות העיסוק בתורה בהתמדה ובאהבה, המביא לדבקות.
תמז2	דווקא הנשמות הגדולות מכירות בחורבן ובאומללות הרשעים, הנגרמים מריקניותם.
תמח	דבקות הבאה אחרי הכרה של שלילה גדולה, מעלה את החיים שלו ושל הדבקים בו, ותפילתו נעשית בהירה וקולעת.
תמח2	דבקות אמיתית בה' לא תיתכן בלא לימוד רזי תורה.
תמט	נסירת הדבקות בין ישראל לה', באה כדי לאפשר דבקות מתוך הכרה ובחירה.
תנ	כשהדבקות הרצונית, המדעית, הדמיונית והמעשית – מאוחדות, נפתחים צינורות התענוג העליון, וישראל עתידים להאירם לעולם.
תנא	הדבקות האלוהית מאשרת את האדם ומשנה את מהותו העצמית, אך הדבקות באלוהי השקר מטביעתו בבוץ החטא.
תנב	ציור קרבת ה' מרומם את האדם, אף שמעמדו המוסרי והתורני שפל, וככל שתתרחב מחשבתו, יתעלה העולם עמו.
תנג	כל דבר גדל לפי ערך דבקותו בה', ולכן האדם המקושר לעולם מעלה בדבקותו את ערך הכל.
תנג2	מחשבה מבוררת מחייה את הרוח, ולכן אדם צריך לברר את השייך לערכו, ורק הדבקות העליונה מחייה את הכל.
תנט	התורה והמצוות מבררות את נועם הדבקות מדמיונות שקר.
תס	שאיפת הצדיקים שתורתם תיבלע בדבקותם, אף שממעיטה את לימודם בכמות, היא מברכת את איכותו, וצריך לשאוף למידה זו.
תסא	כשכשרון הקדושה מתגבר באדם הוא עורג בדבקות עליונה, ושיתופו עם שאר בני האדם הוא רק חיצוני.
תסב	הצער שבדבקות הוא צער הנשמה על התנתקותה מעולם החול, הכולל בקרבו אור ה', והצדיקים מבררים אור זה מעולם החול.
תסג	צער הצדיק על חוסר דבקותו, נובע מצער השכינה על אי-הכשרת האנושות לגילוי אלוהות, ולכן הצדיקים שואפים לתשובת הכל.
תסג2	כל התשוקות שבעולם, וכל חמדות התורה והחכמה, לא יזיזו את הצדיק מדבקותו הקבועה.
תסד	כשהצדיק מאמין בעצמו ובקדושת נשמתו הוא מוסיף דבקות בה', וממשיך חיי קדושה וברכה לעולם.
תסד2	הצדיקים בדבקותם מזכים את העולם, ואפילו את הרשעים שאי-אפשר לזכותם על-ידי מעשים טובים.
תסה	כל מדרגות המציאות קשורות אלו באלו, וזהו יסוד פרק שירה, ונהרת הצדיקים מתפשטת בכולם כפי אומץ הקישור אליהם.
תסו	הצדיקים נותנים לאנושות את צורתה האידיאלית על-ידי דבקותה בהם, וכל תיקוני המוסר אינם אלא שלב המכשיר עליה זו.
תסז	ישנם צדיקים שהתפשטות קדושתם מונעת אותם מתורה, תפילה ומצוות, ואלו מתגלים בשיחתם, נטיותיהם ותנועותיהם.
תסח	תשוקת הדבקות בה' מגבירה את הרגשת הנועם בכל דיבור, מעשה ולימוד, ומטה את הלב אל החלק העצמי שבתורה.
תעג	הענווה היא חותם הטוב, ואהבתה היא לבוש ועטרת הטוב, ומאיסת הגאווה מרוממת את האדם ומכשירתו לתורה.
תעג2	הגאווה גורמת לאדם להחשיב את עצמו יותר מהציור האלוהי שבו, ולסלק את השכינה ממנו, עד שנעשה כעבודה-זרה.
תעד	הענווה מרכזת את האדם בנקודתו העצמית, המשקפת את כל מרחבֶיה, והגאווה מסיחה את הדעת ממנה, וקורעת את אוצרותיו.
תעה	הענווה צריכה להיות מקושרת לחכמה ולזיכוך המידות, ובלעדיהם הרי היא מתחלפת בשפלות בהמית.
תעו	הענווה מורידה ומקשרת את הדעת העליונה של האדם לעומק נשמתו, ואילו הגאווה מונעת את חדירתה, ונשאר האדם שקוע באפלה.
תעו2	בזמן שאדם מרגיש את שפלותו מכל הברואים, יידע שאז כל העולם מתקיים עליו, ושבהתרוממותו יתרוממו כולם.
תעז	בעת גדלות הרוח – התפשטותה היא גאות ה', אך כשנופל ממדרגתו הרי היא הופכת גאווה, וצריך לצמצמה בשפלות הרוח.
תעז2	הקדושה מגדלת את הנשמה להשערת אין-סוף וממלאת אותה בענווה, והחמריות מקטינה את ההוויה והאדם ומביאה לגסות הרוח.
תעט	הגאווה היא שקרנית, מפני שמשכחת גדולת ה' ובכך היא גורמת להקטנת היישות, ולעומתה, ביטול האישיות והיש מגדיל את ערכם.
תעט2	הגאווה מביאה לעולם כעס ותאווה בהקטנתה את ערכו האידיאלי, והענווה ממשיכה נחת ונעימות ממקור הקדושה.
תפ	שורש הגאווה בקדושה הוא גאוותנו בה'.
תפא	רק על ידי הכנעת הרע שבו בפני ה', אפשר להגיע לגבורה וגדלות נפש.
תפא2	תפילין מביאים לידי דבקות המביאה לענווה.
תפב	הענווה והיראה הכרחיות להשגת השגות אלוהיות, שכן כל מהותן היא להאיר את יחס האדם לה'.
תפג	הכל מודים שתלמידי חכמים צריכים מעט גאווה, והמחלוקת היא האם היא עומדת בפני עצמה או בטלה.
תפד	תרבות הגאווה והאכזריות הן תוצאות של האלילות, הנותנת מקום לגאוות הברואים.
תפו*	יסוד הענווה בא מהכרת האפסות שבחידוש הנשמה לעומת הגודל הכללי, ומהכרת ערך הכלל המתחדש בחידושה של הנשמה.
תצג	הקול העליון, חודר בין קולות השלום השוויוני וקולות המלחמה המבלטת כל יחיד, והנשמות הצמאות אליו הן מלאכי השלום בעולם.
תצד	הסליחה העליונה באה ממקור החס העליון, השולל את הרע ועם זה מכיר בייעודו, וזהו סוד השעיר לעזאזל.
תצה	המחלוקת נובעת מהתפשטות המנהיג על בני חוגו, אף ששורשי נשמותיהם אינם כלולים בו, ועל-ידי התשובה מתרחבת נשמתו וכוללתם.
תצו	בעולם המחשבה הרגיל, מתברכת המחשבה מסתירותיה המביאות להכרעה, אך בעולם העליון – ניכרת אחדותן השורשית המשלימה.
תצו2	שנאת הרשעים נזקקת רק באופי רגש המידות, אך בשורש הדעת מכירים שכל פורענות הרשעים באה מהאהבה העליונה.
תצז	המון העם בשנאתם את הרע מוכרחים לשנוא גם את הרשעים, אך המידה העליונה היא הפרדת הטוב מהרע, ושנאת הרע בלבד.
תצח	השנאה והמלחמה באים, כדי שכל פרט יתבלט במהותו המיוחדת, בטרם יתאחד עם חברו, ונמצא שיסוד הכל הוא האהבה והשלום.
תצט	נטיית החסד צריכה הגבלה כדי שבעליה לא ייפגע מהשפעתה החוזרת מהרשעים, ולכן הגבילה התורה את עשיית החסד עמהם.
תק	גם הכעס והקנאה שמקורם בקדושה, כחטאו של משה, מוכרחים להיתקן על-ידי רזי תורה מיסודו של אליהו המבשר שלום.
תקב	הצדיקים מבסמים את כל הנשמות על-ידי התערבותם הסגולית והשכלית עם ישראל ועם כל היצור, על-ידי אווירה של ארץ ישראל.
תקב2	ישראל אינם מסוגלים לסבול סתירה ופירוד, ולכן פיזורם הוא רק ארעי.
תקג	הנשמות שנכנסו בגופים, והנשמות שטרם נכנסו, מתוועדות יחד ומשפיעות ברכה ושלום לעולם.
תקג2	הכשרונות השונים והלימודים השונים סותרים זה את זה כשהם עומדים בפני עצמם, ובהתעלות הנפש והנשמה הם מתאגדים.
תקד	ציור הטבע והנס כסותרים גורם לסתירות בערכי האמונה והמוסר, ואילו ראיית אחדותם מביאה שלום במוסר ובאמונה.
תקה	ביטול גזירת הקב"ה על-ידי הצדיק, הנה נתינת מקום מצד האיכות העליונה המושלמת, להתפשטות הכמותית המסייעת לה.
תקז	מיזוג חיי ההתגלות וההכרה מרווים את תלמי כנסת ישראל מטל החיים של תפארת ישראל.
תקח	שמות השבטים מורים על ייחודה העצמי של כנסת ישראל, ושמות שבעים נפש בני יעקב – על צירופם לכללות העולם. בעתיד יכירו הכל, שלכל העמים, הדתות והסגנונות, יש שאיפה משותפת הגוברת על מלחמותיהם, ויקראו כולם בשם ה'.
תקיג	בירור בירורים הנה עבודת כל אדם, והעלאת העולמות הנה עבודת הצדיקים היחידים (בבחינת עבודת השבת). מבררי הבירורים עושים את מעשיהם לשם התכלית, ומעלי העולמות – התכלית נעוצה כבר במעשיהם. לפעמים צדיק אחד מורכב משתי המעלות: בירור בירורים והעלאת העולמות. בעבודת העלאת העולמות ישנה מדרגה בה אין שום רע יכול לפגוע כלל, שכן הארת העולם הבא מאירה בה. העלאת העולמות היא עבודת משיח, ושלא כעבודת הבירורים, היא מעלה את כל המציאות, ללא יוצא מן הכלל, במנוחה ועונג.
תקיד	צריך להילחם בקליפות התוהו המונעות מחשבה מסודרת, ולבנות בניינים מסודרים, ובכך מידמה הנשמה ליוצרה בונֶה העולמות.
תקיד2	ביעור החמץ השייך לו, והחמץ שתחת אחריותו, מסמל את ביעור החטא האישי, ואת הערבות לכל ישראל ולעולם כולו.
תקטו	הקדושה הטבעית האוניברסלית מופיעה בישראל בחודש תשרי, ועל-ידי מצוות החג היא ננסרת, כדי לגלות את ייחודם של ישראל בשמיני-עצרת.
תקטו2	הלומד תורה לשמה מתקשר עם כל המציאות הנובעת ממקורהּ, והכל מתעלה, וממילא משתחרר הוא ממגבלות השכל והמוסר.
תקטז	גם למאן דאמר: "מצוות בטלות לעתיד לבוא", תקדם לכך תקופה שבו תתגלינה המצוות בהוד סגולתן ובתפארת החיים שבהן.
תקיז	כשם שהתרבות משתדלת להיקבע באנושות כטבע, כך המצוות מפתחות את הטבע האנושי, ומטביעות בו מידה אלוהית.
תקיח	חיזוק הגוף של הצדיקים, וקל-וחומר של כנסת ישראל, מגביר קדושה בעולם, וכל אחד מישראל בהתייחסו אל הכלל, חשוב כצדיק.
תקיט	אחדות העולם הרוחני עם החומרי מתגלה בישראל ובערך דיבורם, וסגולתה של ארץ ישראל לכונן גילוי זה בעולם.
תקיט2	לגבי משה, כל העולמות הרוחניים התלויים בעולם הזה, הנם טפלים לתיקון הנצחי, ואילו יעקב מקושר לעולם, וביתו מתפרנס מבית משה.
תקכ	מהרה יכירו הגויים במרכזיות ישראל בעולם, ובנצחיות אהבת ה' אליהם.
תקכא	ישראל הנם נר למאור העליון בהקשבתם לקול ה' שבעולם, ותיקון חטא מי מריבה של חוסר הקשבה, נעשה בגילוי חכמתם הפנימית.
